Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre06.g249750	Cre04.g223100_4532.1.p;Cre04.g223100_4532.3.p;Cre04.g223100_4532.2.p	Cre04.g223100_4532.1.p;Cre04.g223100_4532.3.p;Cre04.g223100_4532.2.p	34324|0	34324	17162	2	0|0	0.5	1	0.5	1	0.5	-0.21	171620	0	
Cre06.g249750	Cre06.g250200_4532.3.p;Cre06.g250200_4532.2.p;Cre06.g250200_4532.1.p;Cre06.g250200_4532.4.p	Cre06.g250200_4532.3.p;Cre06.g250200_4532.2.p;Cre06.g250200_4532.1.p;Cre06.g250200_4532.4.p	2660|0	2660	1330	2	0|0	0.5	1	0.5	1	0.5	-0.21	13300	0	
Cre06.g249750	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	23348|27048	50396	25198	2	0|0	1	1	1	1	1	inf	251980	0	
Cre06.g249750	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	Cre12.g498600_4532.1.p;Cre06.g263450_4532.3.p;Cre06.g263450_4532.2.p;Cre06.g263450_4532.1.p	4668|0	4668	2334	2	0|0	0.5	1	0.5	1	0.5	-0.21	23340	0	
Cre06.g249750	Cre08.g800885_4532.1.p	Cre08.g800885_4532.1.p	63192|0	63192	31596	2	0|0	0.5	1	0.5	1	0.5	-0.21	315960	0	
Cre06.g249750	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	Cre09.g394200_4532.7.p;Cre09.g394200_4532.4.p;Cre09.g394200_4532.3.p;Cre09.g394200_4532.2.p;Cre09.g394200_4532.6.p;Cre09.g394200_4532.5.p;Cre09.g394200_4532.1.p	5868|0	5868	2934	2	0|0	0.5	1	0.5	1	0.5	-0.21	29340	0	
Cre06.g249750	Cre09.g398900_4532.2.p;Cre09.g398900_4532.1.p	Cre09.g398900_4532.2.p;Cre09.g398900_4532.1.p	54952|0	54952	27476	2	0|0	0.5	1	0.5	1	0.5	-0.21	274760	0	
Cre06.g249750	Cre09.g400650_4532.1.p;Cre09.g400650_4532.2.p;Cre09.g400650_4532.3.p	Cre09.g400650_4532.1.p;Cre09.g400650_4532.2.p;Cre09.g400650_4532.3.p	1688|0	1688	844	2	0|0	0.5	1	0.5	1	0.5	-0.21	8440	0	
Cre06.g249750	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	Cre12.g483700_4532.1.p;Cre12.g483700_4532.3.p;Cre12.g483700_4532.2.p	55652|24044	14160	7080	2	0|0	1	1	1	1	1	inf	70800	0	
Cre06.g249750	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	35888|41552	11904	5952	2	49744|0	0	0	0	0	0	#NAME?	0.24	0.4	
Cre06.g249750	Cre13.g592500_4532.1.p	Cre13.g592500_4532.1.p	40872|13196	54068	27034	2	0|0	1	1	1	1	1	inf	270340	0	
