Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre03.g175800	Cre10.g444500_4532.1.p	Cre10.g444500_4532.1.p	3|1	4	2.00	2	3|1	0.01	0.03	0.01	0.03	0.01	-6.35	1.00	0.63	
Cre03.g175800	Cre06.g269400_4532.1.p	Cre06.g269400_4532.1.p	1|0	1	0.50	2	0|0	0.00	0.00	0.00	0.00	0.00	-1.22	5.00	0.70	
Cre03.g175800	Cre06.g263250_4532.1.p	Cre06.g263250_4532.1.p	1|2	3	1.50	2	0|1	0.28	0.57	0.28	0.57	0.28	-1.05	3.00	0.46	
Cre03.g175800	Cre02.g101350_4532.1.p	Cre02.g101350_4532.1.p	5|2	7	3.50	2	1|0	0.78	0.99	0.78	0.99	0.78	0.27	7.00	0.04	
Cre03.g175800	Cre06.g308250_4532.4.p	Cre06.g308250_4532.4.p	4|3	7	3.50	2	0|0	1.00	1.00	1.00	1.00	1.00	5.16	35.00	0.00	
Cre03.g175800	Cre06.g257601_4532.2.p	Cre06.g257601_4532.2.p	2|1	3	1.50	2	1|1	0.10	0.20	0.10	0.20	0.10	-2.85	1.50	0.55	
Cre03.g175800	Cre17.g701200_4532.1.p	Cre17.g701200_4532.1.p	6|2	8	4.00	2	3|4	0.01	0.01	0.01	0.01	0.01	-10.36	1.14	0.65	
Cre03.g175800	Cre11.g479500_4532.1.p	Cre11.g479500_4532.1.p	3|2	5	2.50	2	2|1	0.09	0.15	0.09	0.15	0.09	-3.15	1.67	0.57	
Cre03.g175800	Cre12.g550850_4532.2.p	Cre12.g550850_4532.2.p	1|0	1	0.50	2	1|1	0.00	0.00	0.00	0.00	0.00	-4.26	0.50	0.70	
Cre03.g175800	Cre01.g039250_4532.2.p	Cre01.g039250_4532.2.p	4|2	6	3.00	2	1|2	0.22	0.39	0.22	0.39	0.22	-3.15	2.00	0.51	
Cre03.g175800	Cre06.g285401_4532.1.p	Cre06.g285401_4532.1.p	2|0	2	1.00	2	2|3	0.00	0.00	0.00	0.00	0.00	-10.68	0.40	0.70	
Cre03.g175800	Cre02.g102250_4532.1.p	Cre02.g102250_4532.1.p	5|0	5	2.50	2	3|0	0.31	0.62	0.31	0.62	0.31	-6.18	1.67	0.46	
Cre03.g175800	Cre16.g659950_4532.1.p	Cre16.g659950_4532.1.p	2|2	4	2.00	2	4|4	0.00	0.00	0.00	0.00	0.00	-12.23	0.50	0.70	
Cre03.g175800	Cre06.g261450_4532.1.p	Cre06.g261450_4532.1.p	1|2	3	1.50	2	2|0	0.12	0.24	0.12	0.24	0.12	-2.61	1.50	0.53	
Cre03.g175800	Cre10.g432800_4532.3.p	Cre10.g432800_4532.3.p	2|3	5	2.50	2	3|0	0.14	0.21	0.14	0.21	0.14	-2.65	1.67	0.53	
Cre03.g175800	Cre10.g424100_4532.1.p	Cre10.g424100_4532.1.p	1|2	3	1.50	2	3|3	0.00	0.00	0.00	0.00	0.00	-10.26	0.50	0.70	
Cre03.g175800	Cre06.g290950_4532.1.p	Cre06.g290950_4532.1.p	6|1	7	3.50	2	3|0	0.37	0.75	0.37	0.75	0.37	-4.37	2.33	0.45	
Cre03.g175800	Cre13.g604650_4532.1.p	Cre13.g604650_4532.1.p	3|1	4	2.00	2	1|0	0.42	0.83	0.42	0.83	0.42	-1.05	4.00	0.43	
Cre03.g175800	Cre03.g199000_4532.4.p	Cre03.g199000_4532.4.p	1|1	2	1.00	2	0|0	0.00	0.00	0.00	0.00	0.00	1.28	10.00	0.70	
Cre03.g175800	Cre06.g278170_4532.1.p	Cre06.g278170_4532.1.p	2|2	4	2.00	2	8|2	0.00	0.00	0.00	0.00	0.00	-15.64	0.40	0.70	
Cre03.g175800	Cre01.g032300_4532.2.p	Cre01.g032300_4532.2.p	3|2	5	2.50	2	2|3	0.00	0.01	0.00	0.01	0.00	-6.71	1.00	0.66	
Cre03.g175800	Cre02.g076350_4532.1.p	Cre02.g076350_4532.1.p	1|1	2	1.00	2	0|0	0.00	0.00	0.00	0.00	0.00	1.28	10.00	0.70	
Cre03.g175800	Cre10.g423650_4532.1.p	Cre10.g423650_4532.1.p	1|1	2	1.00	2	2|1	0.00	0.00	0.00	0.00	0.00	-4.65	0.67	0.70	
Cre03.g175800	Cre01.g040000_4532.1.p	Cre01.g040000_4532.1.p	7|1	8	4.00	2	8|1	0.00	0.00	0.00	0.00	0.00	-15.79	0.89	0.67	
Cre03.g175800	Cre03.g176651_4532.1.p	Cre03.g176651_4532.1.p	1|0	1	0.50	2	8|3	0.00	0.00	0.00	0.00	0.00	-23.48	0.09	0.70	
Cre03.g175800	Cre11.g480150_4532.1.p(+1)	Cre11.g480150_4532.1.p(+1)	4|0	4	2.00	2	7|3	0.00	0.00	0.00	0.00	0.00	-21.39	0.40	0.70	
Cre03.g175800	Cre06.g274800_4532.1.p	Cre06.g274800_4532.1.p	1|3	4	2.00	2	1|0	0.42	0.83	0.42	0.83	0.42	-1.05	4.00	0.43	
Cre03.g175800	CreCp.g802278_4532.1.p	CreCp.g802278_4532.1.p	7|0	7	3.50	2	2|0	0.47	0.94	0.47	0.94	0.47	-4.02	3.50	0.42	
Cre03.g175800	Cre06.g272850_4532.1.p	Cre06.g272850_4532.1.p	2|1	3	1.50	2	0|1	0.28	0.57	0.28	0.57	0.28	-1.05	3.00	0.46	
Cre03.g175800	Cre08.g386000_4532.1.p	Cre08.g386000_4532.1.p	1|1	2	1.00	2	2|1	0.00	0.00	0.00	0.00	0.00	-4.65	0.67	0.70	
Cre03.g175800	Cre06.g272950_4532.1.p	Cre06.g272950_4532.1.p	4|0	4	2.00	2	5|1	0.00	0.01	0.00	0.01	0.00	-12.38	0.67	0.66	
Cre03.g175800	CreCp.g802310_4532.1.p	CreCp.g802310_4532.1.p	13|6	19	9.50	2	2|1	0.94	1.00	0.94	1.00	0.94	1.98	6.33	0.01	
Cre03.g175800	Cre14.g617900_4532.1.p	Cre14.g617900_4532.1.p	2|1	3	1.50	2	2|1	0.02	0.04	0.02	0.04	0.02	-4.65	1.00	0.61	
Cre03.g175800	Cre09.g415950_4532.1.p	Cre09.g415950_4532.1.p	5|1	6	3.00	2	1|2	0.35	0.69	0.35	0.69	0.35	-4.65	2.00	0.45	
Cre03.g175800	Cre06.g294950_4532.1.p	Cre06.g294950_4532.1.p	3|2	5	2.50	2	1|1	0.34	0.48	0.34	0.48	0.34	-1.40	2.50	0.46	
